,house_name,house_located,house_room,house_area,house_price,subway_info
0,龙园山庄,罗湖区,4室1厅,15.5,1660,3号线
1,塘朗城广场东区,南山区,5室1厅,24.0,2230,5号线
2,龙园山庄,罗湖区,4室1厅,15.0,1830,3号线
3,塘朗城广场东区,南山区,5室1厅,6.3,1860,5号线
4,桃源村一期,南山区,4室1厅,7.8,1930,7号线
5,富源商贸中心,宝安区,4室1厅,21.1,2130,5号线
6,春华四季园二期,龙华区,5室1厅,26.5,1990,5号线
7,世纪春城一期,龙华区,4室1厅,18.0,1890,5号线
8,桦润馨居,龙华区,4室1厅,15.2,1690,4号线
9,桃源村一期,南山区,4室1厅,9.41,1830,7号线
10,世纪春城二期,龙华区,4室1厅,16.5,1860,4号线
11,佳兆业城市广场三期,龙岗区,4室1厅,12.5,1790,
12,桃源村二期,南山区,4室1厅,10.0,2260,7号线
13,万科四季花城七期,龙岗区,4室1厅,14.2,1790,5号线
14,佳兆业城市广场三期,龙岗区,4室1厅,12.5,1890,
15,佳兆业城市广场三期,龙岗区,4室1厅,12.0,1890,
16,佳兆业城市广场三期,龙岗区,4室1厅,12.1,1890,
17,佳兆业城市广场三期,龙岗区,4室1厅,13.3,1890,
18,世纪春城二期,龙华区,4室1厅,13.0,1830,4号线
19,佳兆业城市广场三期,龙岗区,4室1厅,11.8,1790,
20,春华四季园二期,龙华区,5室1厅,25.7,2390,5号线
21,佳兆业城市广场三期,龙岗区,4室1厅,12.3,1890,
22,佳兆业城市广场三期,龙岗区,4室1厅,12.6,1890,
23,佳兆业城市广场三期,龙岗区,4室1厅,12.3,1890,
24,佳兆业城市广场三期,龙岗区,4室1厅,12.8,1890,
25,佳兆业城市广场三期,龙岗区,4室1厅,12.7,1860,
26,颐安都会中央二期,龙岗区,3室1厅,10.7,1990,3号线
27,佳兆业城市广场三期,龙岗区,4室1厅,13.1,2190,
28,风和日丽,龙华区,3室1厅,14.2,1630,4号线
29,桃源村一期,南山区,4室1厅,5.91,1460,7号线
30,佳兆业城市广场三期,龙岗区,4室1厅,11.0,1890,
31,莱蒙水榭春天一期,龙华区,4室1厅,12.5,1990,4号线
32,塘朗城广场东区,南山区,5室1厅,7.3,1660,5号线
33,世外桃源九区,宝安区,4室1厅,16.3,1790,1号线
34,领航城领丽花园,宝安区,4室1厅,13.6,2030,1号线
35,春华四季园二期,龙华区,5室1厅,14.1,1890,5号线
36,佳兆业城市广场三期,龙岗区,4室1厅,12.0,2190,
37,皓月花园,龙华区,4室1厅,11.5,1860,5号线
