,house_name,house_located,house_room,house_area,house_price
0,龙园山庄4居室-南卧,[罗湖区清水河] 3号线(龙岗线)草埔,4室1厅,15.5 ㎡,￥ 1660                                                        (每月)
1,塘朗城广场东区5居室-北卧,[南山区大学城] 5号线(环中线)塘朗,5室1厅,24 ㎡,￥ 2230                                                        (每月)
2,龙园山庄4居室-南卧,[罗湖区清水河] 3号线(龙岗线)草埔,4室1厅,15 ㎡,￥ 1830                                                        (每月)
3,塘朗城广场东区5居室-南卧,[南山区大学城] 5号线(环中线)塘朗,5室1厅,6.3 ㎡,￥ 1860                                                        (每月)
4,桃源村一期4居室-南卧,[南山区桃源村] 7号线桃源村,4室1厅,7.8 ㎡,￥ 1930                                                        (每月)
5,富源商贸中心4居室-南卧,[宝安区翻身] 5号线(环中线)翻身,4室1厅,21.1 ㎡,￥ 2130                                                        (每月)
6,春华四季园二期5居室-南卧,[龙华区坂田] 5号线(环中线)五和,5室1厅,26.5 ㎡,￥ 1990                                                        (每月)
7,世纪春城一期4居室-南卧,[龙华区民治] 5号线(环中线)民治,4室1厅,18 ㎡,￥ 1890                                                        (每月)
8,桦润馨居4居室-南卧,[龙华区龙华中心] 4号线(龙华线)龙华,4室1厅,15.2 ㎡,￥ 1690                                                        (每月)
9,桃源村一期4居室-南卧,[南山区桃源村] 7号线桃源村,4室1厅,9.41 ㎡,￥ 1830                                                        (每月)
10,世纪春城二期4居室-南卧,[龙华区民治] 4号线(龙华线)红山,4室1厅,16.5 ㎡,￥ 1860                                                        (每月)
11,佳兆业城市广场三期4居室-南卧,[龙岗区坂田],4室1厅,12.5 ㎡,￥ 1790                                                        (每月)
12,桃源村二期4居室-北卧,[南山区西丽] 7号线桃源村,4室1厅,10 ㎡,￥ 2260                                                        (每月)
13,万科四季花城七期4居室-南卧,[龙岗区坂田] 5号线(环中线)五和,4室1厅,14.2 ㎡,￥ 1790                                                        (每月)
14,佳兆业城市广场三期4居室-南卧,[龙岗区坂田],4室1厅,12.5 ㎡,￥ 1890                                                        (每月)
15,佳兆业城市广场三期4居室-南卧,[龙岗区坂田],4室1厅,12 ㎡,￥ 1890                                                        (每月)
16,佳兆业城市广场三期4居室-南卧,[龙岗区坂田],4室1厅,12.1 ㎡,￥ 1890                                                        (每月)
17,佳兆业城市广场三期4居室-南卧,[龙岗区坂田],4室1厅,13.3 ㎡,￥ 1890                                                        (每月)
18,世纪春城二期4居室-南卧,[龙华区民治] 4号线(龙华线)红山,4室1厅,13 ㎡,￥ 1830                                                        (每月)
19,佳兆业城市广场三期4居室-南卧,[龙岗区坂田],4室1厅,11.8 ㎡,￥ 1790                                                        (每月)
20,春华四季园二期5居室-北卧,[龙华区坂田] 5号线(环中线)五和,5室1厅,25.7 ㎡,￥ 2390                                                        (每月)
